"Stimulus" "Reading.AOI.number" "word"
"10850" "rc-n1forced-nonanim-5.jpg" 7 "ulaşabildi."
"10865" "rc-n1forced-nonanim-5.jpg" 10 "için"
"10852" "rc-n1forced-nonanim-5.jpg" 11 "<buraya>"
"10882" "rc-n1forced-nonanim-5.jpg" 12 "bakınız."
"13078" "rc-n1forced-nonanim-6.jpg" 1 "Bahçede"
"13081" "rc-n1forced-nonanim-6.jpg" 2 "yırtılan"
"13077" "rc-n1forced-nonanim-6.jpg" 3 "kotun"
"13084" "rc-n1forced-nonanim-6.jpg" 4 "sahibi"
"13085" "rc-n1forced-nonanim-6.jpg" 5 "çamaşır"
"13087" "rc-n1forced-nonanim-6.jpg" 6 "ipine"
"13089" "rc-n1forced-nonanim-6.jpg" 7 "kotunu"
"13091" "rc-n1forced-nonanim-6.jpg" 8 "astı."
"13146" "rc-n1forced-nonanim-6.jpg" 11 "için"
"13103" "rc-n1forced-nonanim-6.jpg" 12 "<buraya>"
"731" "rc-n2forced-anim-1.jpg" 1 "Sokakta"
"733" "rc-n2forced-anim-1.jpg" 2 "yürüyen"
"735" "rc-n2forced-anim-1.jpg" 3 "köyün"
"734" "rc-n2forced-anim-1.jpg" 4 "delisi"
"737" "rc-n2forced-anim-1.jpg" 5 "garip"
"738" "rc-n2forced-anim-1.jpg" 6 "hareketler"
"740" "rc-n2forced-anim-1.jpg" 7 "yapıyordu."
"760" "rc-n2forced-anim-1.jpg" 10 "için"
"761" "rc-n2forced-anim-1.jpg" 11 "<buraya>"
"3098" "rc-n2forced-anim-2.jpg" 1 "Denizde"
"3097" "rc-n2forced-anim-2.jpg" 2 "boğulan"
"3099" "rc-n2forced-anim-2.jpg" 3 "salın"
"3103" "rc-n2forced-anim-2.jpg" 4 "sahibi"
"3104" "rc-n2forced-anim-2.jpg" 5 "dün"
"3106" "rc-n2forced-anim-2.jpg" 6 "akşam"
"3122" "rc-n2forced-anim-2.jpg" 7 "üstü"
"3110" "rc-n2forced-anim-2.jpg" 8 "defnedildi."
"4307" "rc-n2forced-anim-2.jpg" 10 "etmek"
"3112" "rc-n2forced-anim-2.jpg" 12 "<buraya>"
"5647" "rc-n2forced-anim-3.jpg" 1 "Kadınla"
"5667" "rc-n2forced-anim-3.jpg" 2 "konuşan"
"5648" "rc-n2forced-anim-3.jpg" 3 "kotun"
"5650" "rc-n2forced-anim-3.jpg" 4 "sahibi"
"5651" "rc-n2forced-anim-3.jpg" 5 "kotu"
"5652" "rc-n2forced-anim-3.jpg" 6 "sonunda"
"5654" "rc-n2forced-anim-3.jpg" 7 "kadına"
"5656" "rc-n2forced-anim-3.jpg" 8 "sattı."
"5686" "rc-n2forced-anim-3.jpg" 10 "etmek"
"5658" "rc-n2forced-anim-3.jpg" 12 "<buraya>"
"5955" "rc-n2forced-anim-3.jpg" 13 "bakınız."
"7956" "rc-n2forced-anim-4.jpg" 1 "İşten"
"7958" "rc-n2forced-anim-4.jpg" 2 "çıkarılan"
"7959" "rc-n2forced-anim-4.jpg" 3 "yatın"
"7960" "rc-n2forced-anim-4.jpg" 4 "aşçısı"
"7961" "rc-n2forced-anim-4.jpg" 5 "işverenden"
"7968" "rc-n2forced-anim-4.jpg" 6 "parasını"
"7969" "rc-n2forced-anim-4.jpg" 7 "almadı."
"8773" "rc-n2forced-anim-4.jpg" 10 "için"
"8054" "rc-n2forced-anim-4.jpg" 11 "<buraya>"
"10245" "rc-n2forced-anim-5.jpg" 1 "Kapıda"
"10227" "rc-n2forced-anim-5.jpg" 2 "bekleyen"
"10229" "rc-n2forced-anim-5.jpg" 3 "evin"
"10230" "rc-n2forced-anim-5.jpg" 4 "bekçisi"
"10233" "rc-n2forced-anim-5.jpg" 5 "saat"
"10234" "rc-n2forced-anim-5.jpg" 6 "üçe"
"10235" "rc-n2forced-anim-5.jpg" 7 "kadar"
"10236" "rc-n2forced-anim-5.jpg" 8 "nöbet"
"10237" "rc-n2forced-anim-5.jpg" 9 "tuttu."
"10244" "rc-n2forced-anim-5.jpg" 13 "<buraya>"
"12506" "rc-n2forced-anim-6.jpg" 1 "Projeyi"
"12507" "rc-n2forced-anim-6.jpg" 2 "isteyen"
"12510" "rc-n2forced-anim-6.jpg" 3 "büronun"
"12512" "rc-n2forced-anim-6.jpg" 4 "şefi"
"12535" "rc-n2forced-anim-6.jpg" 5 "ilk"
"12536" "rc-n2forced-anim-6.jpg" 6 "önce"
"12537" "rc-n2forced-anim-6.jpg" 7 "projeyi"
"12522" "rc-n2forced-anim-6.jpg" 8 "inceledi."
"12763" "rc-n2forced-anim-6.jpg" 11 "için"
"12521" "rc-n2forced-anim-6.jpg" 12 "<buraya>"
"1368" "rc-n2forced-nonanim-1.jpg" 1 "Depremde"
"1369" "rc-n2forced-nonanim-1.jpg" 2 "yıkılan"
"1370" "rc-n2forced-nonanim-1.jpg" 3 "patronun"
"1372" "rc-n2forced-nonanim-1.jpg" 4 "evi"
"1373" "rc-n2forced-nonanim-1.jpg" 5 "geçen"
"1397" "rc-n2forced-nonanim-1.jpg" 6 "ay"
"1374" "rc-n2forced-nonanim-1.jpg" 7 "yeniden"
"1377" "rc-n2forced-nonanim-1.jpg" 8 "onarıldı."
"2037" "rc-n2forced-nonanim-1.jpg" 10 "etmek"
"1379" "rc-n2forced-nonanim-1.jpg" 12 "<buraya>"
"4313" "rc-n2forced-nonanim-2.jpg" 1 "Kapıda"
"4312" "rc-n2forced-nonanim-2.jpg" 2 "yırtılan"
"4337" "rc-n2forced-nonanim-2.jpg" 3 "kızın"
"4310" "rc-n2forced-nonanim-2.jpg" 4 "atkısı"
"4311" "rc-n2forced-nonanim-2.jpg" 5 "çamaşır"
"4316" "rc-n2forced-nonanim-2.jpg" 6 "makinasına"
"4317" "rc-n2forced-nonanim-2.jpg" 7 "atıldı."
"4367" "rc-n2forced-nonanim-2.jpg" 9 "etmek"
"4323" "rc-n2forced-nonanim-2.jpg" 11 "<buraya>"
"6873" "rc-n2forced-nonanim-3x.jpg" 1 "Mağazada"
"6875" "rc-n2forced-nonanim-3x.jpg" 2 "kırılan"
"6877" "rc-n2forced-nonanim-3x.jpg" 3 "kızın"
"6878" "rc-n2forced-nonanim-3x.jpg" 4 "vazosu"
"6884" "rc-n2forced-nonanim-3x.jpg" 5 "dün"
"6885" "rc-n2forced-nonanim-3x.jpg" 6 "yenisiyle"
"6887" "rc-n2forced-nonanim-3x.jpg" 7 "değiştirildi."
"6901" "rc-n2forced-nonanim-3x.jpg" 11 "<buraya>"
"9163" "rc-n2forced-nonanim-4.jpg" 1 "Yolda"
"9148" "rc-n2forced-nonanim-4.jpg" 2 "yankılanan"
"9150" "rc-n2forced-nonanim-4.jpg" 3 "müdürün"
"9152" "rc-n2forced-nonanim-4.jpg" 4 "sesi"
"9154" "rc-n2forced-nonanim-4.jpg" 5 "çevredekileri"
"9157" "rc-n2forced-nonanim-4.jpg" 6 "çok"
"9158" "rc-n2forced-nonanim-4.jpg" 7 "korkuttu."
"9178" "rc-n2forced-nonanim-4.jpg" 10 "için"
"9179" "rc-n2forced-nonanim-4.jpg" 11 "<buraya>"
"9206" "rc-n2forced-nonanim-4.jpg" 12 "bakınız."
"11393" "rc-n2forced-nonanim-5.jpg" 1 "Alçıya"
"11392" "rc-n2forced-nonanim-5.jpg" 2 "sarılan"
"11397" "rc-n2forced-nonanim-5.jpg" 3 "adamın"
"11403" "rc-n2forced-nonanim-5.jpg" 4 "ayağı"
"11404" "rc-n2forced-nonanim-5.jpg" 5 "sabah"
"11442" "rc-n2forced-nonanim-5.jpg" 6 "aynı"
"11405" "rc-n2forced-nonanim-5.jpg" 7 "yerinden"
"11407" "rc-n2forced-nonanim-5.jpg" 8 "kırıldı."
"11408" "rc-n2forced-nonanim-5.jpg" 12 "<buraya>"
"13637" "rc-n2forced-nonanim-6.jpg" 1 "Ucuza"
"13638" "rc-n2forced-nonanim-6.jpg" 2 "kiralanan"
"13664" "rc-n2forced-nonanim-6.jpg" 3 "adamın"
"13640" "rc-n2forced-nonanim-6.jpg" 4 "köşkü"
"13641" "rc-n2forced-nonanim-6.jpg" 5 "önceki"
"13642" "rc-n2forced-nonanim-6.jpg" 6 "gün"
"13644" "rc-n2forced-nonanim-6.jpg" 7 "tümüyle"
"13646" "rc-n2forced-nonanim-6.jpg" 8 "yandı."
"13659" "rc-n2forced-nonanim-6.jpg" 12 "<buraya>"
"2" "rc-nonforced-anim-1.jpg" 1 "Banyoda"
"1" "rc-nonforced-anim-1.jpg" 2 "yıkanan"
"5" "rc-nonforced-anim-1.jpg" 3 "kadının"
"7" "rc-nonforced-anim-1.jpg" 4 "oğlu"
"8" "rc-nonforced-anim-1.jpg" 5 "dün"
"9" "rc-nonforced-anim-1.jpg" 6 "bütün"
"21" "rc-nonforced-anim-1.jpg" 7 "odayı"
"10" "rc-nonforced-anim-1.jpg" 8 "temizledi."
"401" "rc-nonforced-anim-1.jpg" 9 "Devam"
"400" "rc-nonforced-anim-1.jpg" 10 "etmek"
"36" "rc-nonforced-anim-1.jpg" 12 "<buraya>"
"144" "rc-nonforced-anim-1.jpg" 13 "bakınız."
"2317" "rc-nonforced-anim-2.jpg" 1 "Yanımda"
"2318" "rc-nonforced-anim-2.jpg" 2 "dikilen"
"2320" "rc-nonforced-anim-2.jpg" 3 "kızın"
"2321" "rc-nonforced-anim-2.jpg" 4 "amcası"
"2322" "rc-nonforced-anim-2.jpg" 5 "etrafına"
"2326" "rc-nonforced-anim-2.jpg" 6 "şaşkınlıkla"
"2328" "rc-nonforced-anim-2.jpg" 7 "baktı."
"2363" "rc-nonforced-anim-2.jpg" 9 "etmek"
"2336" "rc-nonforced-anim-2.jpg" 11 "<buraya>"
"4756" "rc-nonforced-anim-3.jpg" 1 "Sokakta"
"4759" "rc-nonforced-anim-3.jpg" 2 "ağlayan"
"4760" "rc-nonforced-anim-3.jpg" 3 "kızın"
"4761" "rc-nonforced-anim-3.jpg" 4 "halası"
"4771" "rc-nonforced-anim-3.jpg" 5 "evde"
"4762" "rc-nonforced-anim-3.jpg" 6 "arkadaşlarını"
"4765" "rc-nonforced-anim-3.jpg" 7 "bekledi."
"6092" "rc-nonforced-anim-3.jpg" 9 "etmek"
"4784" "rc-nonforced-anim-3.jpg" 11 "<buraya>"
"7226" "rc-nonforced-anim-4.jpg" 1 "Sorguya"
"7227" "rc-nonforced-anim-4.jpg" 2 "çekilen"
"7231" "rc-nonforced-anim-4.jpg" 3 "kızın"
"7229" "rc-nonforced-anim-4.jpg" 4 "dayısı"
"7252" "rc-nonforced-anim-4.jpg" 5 "elmas"
"7240" "rc-nonforced-anim-4.jpg" 6 "yüzüğünü"
"7242" "rc-nonforced-anim-4.jpg" 7 "evde"
"7243" "rc-nonforced-anim-4.jpg" 8 "buldu."
"8142" "rc-nonforced-anim-4.jpg" 11 "için"
"7232" "rc-nonforced-anim-4.jpg" 12 "<buraya>"
"7299" "rc-nonforced-anim-4.jpg" 13 "bakınız."
"9519" "rc-nonforced-anim-5.jpg" 1 "Aylardır"
"9522" "rc-nonforced-anim-5.jpg" 2 "aranan"
"9523" "rc-nonforced-anim-5.jpg" 3 "kadının"
"9525" "rc-nonforced-anim-5.jpg" 4 "katili"
"9531" "rc-nonforced-anim-5.jpg" 5 "uzak"
"9527" "rc-nonforced-anim-5.jpg" 6 "bir"
"9528" "rc-nonforced-anim-5.jpg" 7 "şehirde"
"9530" "rc-nonforced-anim-5.jpg" 8 "görüldü."
"9599" "rc-nonforced-anim-5.jpg" 10 "etmek"
"9542" "rc-nonforced-anim-5.jpg" 11 "için"
"9543" "rc-nonforced-anim-5.jpg" 12 "<buraya>"
"9856" "rc-nonforced-anim-5.jpg" 13 "bakınız."
"11718" "rc-nonforced-anim-6.jpg" 1 "Eşyaları"
"11721" "rc-nonforced-anim-6.jpg" 2 "aranan"
"11722" "rc-nonforced-anim-6.jpg" 3 "askerin"
"11727" "rc-nonforced-anim-6.jpg" 4 "kızı"
"11728" "rc-nonforced-anim-6.jpg" 5 "istasyonu"
"11743" "rc-nonforced-anim-6.jpg" 6 "birbirine"
"11730" "rc-nonforced-anim-6.jpg" 7 "kattı."
"11987" "rc-nonforced-anim-6.jpg" 10 "için"
"11753" "rc-nonforced-anim-6.jpg" 11 "<buraya>"
"11861" "rc-nonforced-anim-6.jpg" 12 "bakınız."
"1087" "rc-nonforced-nonanim-1.jpg" 1 "Tozdan"
"1088" "rc-nonforced-nonanim-1.jpg" 2 "kirlenen"
"1090" "rc-nonforced-nonanim-1.jpg" 3 "yolun"
"1091" "rc-nonforced-nonanim-1.jpg" 4 "etrafı"
"1092" "rc-nonforced-nonanim-1.jpg" 5 "yemyeşil"
"1094" "rc-nonforced-nonanim-1.jpg" 6 "ağaçlarla"
"1095" "rc-nonforced-nonanim-1.jpg" 7 "bezendi."
"1263" "rc-nonforced-nonanim-1.jpg" 8 "Devam"
"1516" "rc-nonforced-nonanim-1.jpg" 9 "etmek"
"1108" "rc-nonforced-nonanim-1.jpg" 11 "<buraya>"
"3491" "rc-nonforced-nonanim-2.jpg" 1 "Epeyce"
"3480" "rc-nonforced-nonanim-2.jpg" 2 "kirlenen"
"3482" "rc-nonforced-nonanim-2.jpg" 3 "gölün"
"3483" "rc-nonforced-nonanim-2.jpg" 4 "etrafı"
"3484" "rc-nonforced-nonanim-2.jpg" 5 "büyük"
"3487" "rc-nonforced-nonanim-2.jpg" 6 "duvarlarla"
"3488" "rc-nonforced-nonanim-2.jpg" 7 "kapatıldı."
"3550" "rc-nonforced-nonanim-2.jpg" 8 "Devam"
"3532" "rc-nonforced-nonanim-2.jpg" 9 "etmek"
"3533" "rc-nonforced-nonanim-2.jpg" 10 "için"
"3502" "rc-nonforced-nonanim-2.jpg" 11 "<buraya>"
"6095" "rc-nonforced-nonanim-3.jpg" 1 "Tatilde"
"6097" "rc-nonforced-nonanim-3.jpg" 2 "bozulan"
"6099" "rc-nonforced-nonanim-3.jpg" 3 "aracın"
"6100" "rc-nonforced-nonanim-3.jpg" 4 "aküsü"
"6111" "rc-nonforced-nonanim-3.jpg" 5 "başka"
"6101" "rc-nonforced-nonanim-3.jpg" 6 "amaçlarla"
